ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001323,HY190904,3/19/2015 15:45,016XX W WALNUT ST,4510,OTHER OFFENSE,PROBATION VIOLATION,GOVERNMENT BUILDING/PROPERTY,TRUE,FALSE,1215,12,27,28,26,1165374,1901800,2015,2/10/2018 15:50,41.88613633,-87.66816368,"(41.886136329, -87.668163684)"
10001324,HY190945,3/19/2015 10:00,074XX S COLES AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,334,3,7,43,5,1195250,1856546,2015,2/10/2018 15:50,41.76126958,-87.55995028,"(41.761269577, -87.559950282)"
10001325,HY190874,3/18/2015 8:30,012XX W GRENSHAW ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1231,12,2,28,6,1168082,1895138,2015,2/10/2018 15:50,41.86779726,-87.65841172,"(41.867797261, -87.658411716)"
10001327,HY190774,3/19/2015 2:30,086XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,OTHER,FALSE,FALSE,632,6,6,44,08B,1183068,1847963,2015,2/10/2018 15:50,41.73800878,-87.60486399,"(41.738008783, -87.604863987)"
10001328,HY190571,3/18/2015 6:00,008XX W 51ST PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,934,9,3,61,08B,1171529,1870698,2015,2/10/2018 15:50,41.80065664,-87.64647469,"(41.800656635, -87.646474686)"
10001331,HY190961,3/19/2015 18:02,067XX W ARCHER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,811,8,23,56,6,1132414,1867331,2015,2/10/2018 15:50,41.79218512,-87.79000265,"(41.792185121, -87.790002651)"
10001332,HY190987,3/19/2015 1:00,029XX S DEARBORN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,133,1,3,35,6,1176406,1885545,2015,2/10/2018 15:50,41.84128975,-87.62814236,"(41.841289747, -87.628142362)"
10001333,HY190964,3/16/2015 18:14,017XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1433,14,1,24,11,1164685,1910707,2015,2/10/2018 15:50,41.91059242,-87.67044111,"(41.910592416, -87.670441113)"
10001334,HY190922,3/19/2015 5:45,023XX W ARMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,1432,14,32,22,14,1160581,1913231,2015,2/10/2018 15:50,41.9176045,-87.68544763,"(41.917604504, -87.685447634)"
10001335,HY190941,3/19/2015 11:00,009XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1812,18,43,7,14,1169489,1914149,2015,2/10/2018 15:50,41.91993422,-87.65269275,"(41.919934216, -87.652692746)"
10001338,HY190793,3/19/2015 13:16,004XX S FRANKLIN ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,122,1,2,32,6,1174386,1898413,2015,2/10/2018 15:50,41.87664574,-87.63517102,"(41.876645737, -87.635171022)"
10001339,HY190888,3/19/2015 16:30,035XX S WESTERN BLVD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,911,9,12,59,08B,1161093,1881324,2015,2/10/2018 15:50,41.83003812,-87.68445274,"(41.830038123, -87.684452738)"
10001340,HY190963,3/19/2015 9:00,011XX W OHIO ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1214,12,27,24,5,1168750,1904033,2015,2/10/2018 15:50,41.89219136,-87.65570155,"(41.892191358, -87.65570155)"
10001341,HY190795,3/19/2015 15:45,021XX S PULASKI RD,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,FALSE,1014,10,24,29,3,1150046,1889312,2015,2/10/2018 15:50,41.85218005,-87.72477697,"(41.852180051, -87.724776967)"
10001342,HY190972,3/19/2015 6:00,005XX N TRIPP AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1111,11,28,23,6,1147906,1903370,2015,2/10/2018 15:50,41.89079822,-87.73227015,"(41.890798221, -87.732270145)"
10001343,HY190978,3/19/2015 18:10,075XX S RACINE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,TAVERN/LIQUOR STORE,FALSE,FALSE,612,6,17,71,26,1169629,1854690,2015,2/10/2018 15:50,41.7567702,-87.65390643,"(41.756770198, -87.653906431)"
10001344,HY190730,3/19/2015 14:00,024XX S HAMLIN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1013,10,22,30,08B,1151425,1887566,2015,2/10/2018 15:50,41.84736188,-87.7197614,"(41.847361883, -87.719761396)"
10001345,HY190960,3/18/2015 14:20,027XX S PULASKI RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,FALSE,FALSE,1031,10,22,30,11,1150155,1885461,2015,2/10/2018 15:50,41.8416103,-87.72447711,"(41.841610299, -87.724477111)"
10001346,HY190976,3/19/2015 18:05,049XX N NAGLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1613,16,41,10,14,1132554,1932416,2015,2/10/2018 15:50,41.97078511,-87.78797269,"(41.970785106, -87.787972688)"
10001347,HY190902,3/13/2015 16:30,011XX S MICHIGAN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,TRUE,123,1,2,32,26,1177422,1895476,2015,2/10/2018 15:50,41.86851813,-87.62411302,"(41.868518128, -87.624113021)"
10001348,HY190906,3/19/2015 16:08,080XX S COLFAX AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,422,4,7,46,18,1194911,1852123,2015,2/10/2018 15:50,41.74914089,-87.56133818,"(41.749140885, -87.56133818)"
10001349,HY191018,3/18/2015 23:00,053XX S LOWE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,935,9,3,61,14,1172873,1869438,2015,2/10/2018 15:50,41.79716949,-87.64158301,"(41.797169487, -87.641583005)"
